trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.2782356912138437}",20,12,16.916132159909335,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.2698886204774284}",25,13,-3.728892076787567,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.26179196186310555}",30,14,-5.5918759872313615,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.25393820300721237}",25,2,27.74678763294866,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.246320056916996}",30,0,24.73747572358783,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.2389304552094861}",20,6,23.79902218199912,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.23176254155320153}",30,16,3.8297689457289263,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.22480966530660546}",25,16,13.52437985574135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.2180653753474073}",25,7,32.19210200743662,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.21152341408698508}",20,10,-5.547646342065421,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.2051777116643755}",25,0,-50.86812375005678,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.19902238031444425}",20,0,-33.77131035831924,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.19305170890501092}",30,0,23.077850521386228,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.18726015763786058}",25,12,1.2409102583448275,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.18164235290872477}",30,11,36.49925498156115,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.176193082321463}",35,23,23.224717166913134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.1709072898518191}",20,0,12.307274224580484,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.16578007115626453}",20,11,13.78023912559516,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.1608066690215766}",25,13,18.456531140243378,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.1559824689509293}",30,15,18.675824214575673,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.1513029948824014}",30,0,-5.617773243674374,"{0: 26, 1: 2, 2: 0, 3: 2, 4: 0}",0
